ip_address,status,mqtt
27.50.16.0,,gagal
27.50.16.1,,gagal
27.50.16.2,,gagal
27.50.16.3,,gagal
27.50.16.4,,gagal
27.50.16.5,,gagal
27.50.16.6,,gagal
27.50.16.7,,gagal
27.50.16.8,,gagal
27.50.16.9,,gagal
27.50.16.10,,gagal
27.50.16.11,,gagal
27.50.16.12,,gagal
27.50.16.13,,gagal
27.50.16.14,,gagal
27.50.16.15,,gagal
27.50.16.16,,gagal
27.50.16.17,,gagal
27.50.16.18,,gagal
27.50.16.19,,gagal
27.50.16.20,,gagal
27.50.16.21,,gagal
27.50.16.22,,gagal
27.50.16.23,,gagal
27.50.16.24,,gagal
27.50.16.25,,gagal
27.50.16.26,,gagal
27.50.16.27,,gagal
27.50.16.28,,gagal
27.50.16.29,,gagal
27.50.16.30,,gagal
27.50.16.31,,gagal
27.50.16.32,,gagal
27.50.16.33,,gagal
27.50.16.34,,gagal
27.50.16.35,,gagal
27.50.16.36,,gagal
27.50.16.37,,gagal
27.50.16.38,,gagal
27.50.16.39,,gagal
27.50.16.40,,gagal
27.50.16.41,,gagal
27.50.16.42,,gagal
27.50.16.43,,gagal
27.50.16.44,,gagal
27.50.16.45,,gagal
27.50.16.46,,gagal
27.50.16.47,,gagal
27.50.16.48,,gagal
27.50.16.49,,gagal
27.50.16.50,,gagal
27.50.16.51,,gagal
27.50.16.52,,gagal
27.50.16.53,,gagal
27.50.16.54,,gagal
27.50.16.55,,gagal
27.50.16.56,,gagal
27.50.16.57,,gagal
27.50.16.58,,gagal
27.50.16.59,,gagal
27.50.16.60,,gagal
27.50.16.61,,gagal
27.50.16.62,,gagal
27.50.16.63,,gagal
27.50.16.64,,gagal
27.50.16.65,,gagal
27.50.16.66,,gagal
27.50.16.67,,gagal
27.50.16.68,,gagal
27.50.16.69,,gagal
27.50.16.70,,gagal
27.50.16.71,,gagal
27.50.16.72,,gagal
27.50.16.73,,gagal
27.50.16.74,,gagal
27.50.16.75,,gagal
27.50.16.76,,gagal
27.50.16.77,,gagal
